"variable","nullable","variable type","data type","unit of measure","description"
"e_chq_acc_status",FALSE,"categorical",,,"Status of existing checking account <ul><li>$A11 < DM$</li><li>$0 \le A12 < 200 DM$</li><li>$A13 \ge 200 DM$ / salary assignments for at least 1 year</li><li>$A14$: no checking ccount</li></ul>"
"duration_months",FALSE,"numerical",,"months",
"credit_history",FALSE,,,,
"purpose",FALSE,,,,
"credit_amount",FALSE,,,,
"savings_acc_class",FALSE,,,,
"curr_emp_class",FALSE,,,,
"i_rate_by_disp_inc",FALSE,,,,
"sex_and_status",FALSE,,,,
"other_debtors_class",FALSE,,,,
"curr_res_since",FALSE,,,,
"property",FALSE,,,,
"age_years",FALSE,,,,
"other_i_plans",FALSE,,,,
"housing",FALSE,,,,
"n_e_credits_this_bank",FALSE,,,,
"job",FALSE,,,,
"n_dependants",FALSE,,,,
"telephone",FALSE,,,,
"foreign_worker",FALSE,,,,
"label",FALSE,,,,
